Protein,Uniprot AC,RefSeq ID,Review status,Curators,GitBook report,Distance cut-off used for AlloSigma2,Contact calculation mode for AlloSigma2 filtering,Structure source,Description of structure source,Linker design included,PDB ID,Cofactors in starting structure
NCOR1,O75376,NP_006302,0,"Katrine Meldgård (DTU, Denmark, DCI, Denmark), Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PAK5,Q9P286,NP_065074,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
RHPN2,Q8IUC4,NP_149094,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
LMTK3,Q96Q04,NP_001375414,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
HOXC13,P31276,NP_059106,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PIK3C3,Q8NEB9,NP_002638,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DCLK3,Q9C098,NP_208382,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
TRAF7,Q6Q0C0,NP_115647,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
B2M,P61769,NP_004039,2,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/b2m/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GFI1,Q99684,NP_005254,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
RTEL1,Q9NZ71,NP_057518,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PIEZO,Q92508,NP_001136336,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TSSK4,Q6SA08,NP_777604,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
HMBS,P08397,NP_000181,0,"Martina Bellini (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PALM3,A6NDB9,,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark), Mattia Utichi (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
STK32C,Q86UX6,NP_775846,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
GOT2,P00505,NP_002071,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
SPTBN1,Q01082,NP_003119,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ADA,P00813,NP_000013,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DR1,Q01658,NP_001929,2,"Martina Bellini (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dr1/,,,AFDB,AlphaFold database,False,,
NPLOC4,Q8TAT6,NP_060391,2,"Simone Scrima (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/nploc4,,,AFDB,AlphaFold database,False,,
TTBK1,Q5TCY1,NP_115927,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DROSHA,Q9NRR4,NP_037367,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ADCK2,Q7Z695,NP_443085,1,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/adck-proteins/adck2,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
HAX1,O00165,NP_006109,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
TESK2,Q96S53,NP_009101,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CILK1,Q9UPZ9,NP_055735,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
UBD,O15205,NP_006389,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FAN1,Q9Y2M0,NP_055782,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NUTM2B,A6NNL0,NP_001265424,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ARHGEF10L,Q9HCE6,NP_060595,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ZFP69,Q49AA0,NP_001307108,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TTBK2,Q6IQ55,NP_775771,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MSH2-ADP,P43246,NP_000242,2,"Ludovica Beltrame (DTU, Denmark), Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/msh2,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CSTB,P04080,NP_000091,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark), Kristine Degn (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PAX8,Q06710,NP_003457,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
BRIP1,Q9BX63,NP_114432,2,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark), Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/brip1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GPC5,P78333,NP_004457,0,"Anu Oswal (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
KIF5A,Q12840,NP_004975,3,"Francesca Maselli (DCI, Denmark, IBFM-CNR, Italy), Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/kif5a,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MAP3K10,Q02779,NP_002437,0,"Philipp Becker (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ATG9A,Q7Z3C6,NP_001070666,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/atg-proteins/atg9a,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FANCF,Q9NPI8,NP_073562,2,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/fancf/,,,AFDB,AlphaFold database,False,,
ANK3,Q12955,NP_066267,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ank-proteins/ank3,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PRKAG2,Q9UGJ0,NP_057287,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
HOXA11,P31270,NP_005514,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
IGLL1,P15814,NP_064455,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MAP1LC3B-NMR,Q9GZQ8,NP_073729,3,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/map1lc3b/,5.5,atomic_contacts,PDB,Experimental PDB structure,False,1V49,
PIK3CA,P42336,NP_006209,2,"Amalie Drud Nielsen (DCI, Denmark, DTU, Denmark), Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/pik3ca/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FABP6,P51161,NP_001436,0,"Kristine Degn (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
LARP4B,Q92615,NP_055970,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
RECQL4,O94761,NP_004251,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
SMARCE1,Q969G3,NP_003070,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,,,AFDB,AlphaFold database,False,,
MLLT1,Q03111,NP_005925,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
STAT6,P42226,NP_003144,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,,,,,
EPO,P01588,NP_000790,0,"Beatrice Drago (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BCKDK,O14874,NP_005872,2,"Philipp Becker (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/bckdk/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ABRAXAS1,Q6UWZ7,NP_620775,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FGFR1,P11362,NP_075598,0,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
KAT6A,Q92794,NP_006757,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PFN1,P07737,NP_00501,0,"Kristine Degn (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ZNRF3,Q9ULT6,NP_001193927,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
BRD4,O60885,NP_490597,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PELI2,Q9HAT8,NP_067078,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/peli2,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PCDHB9,Q9Y5E1,NP_061992,2,"Alessia Campo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/pcdhb9/,5.5,atomic_contacts,AF3,AlphaFold3 webserver,False,,
LDHA,P00338,NP_005557,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CDK12,Q9NYV4,NP_057591,0,"Anu Oswal (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BCL2L1,Q07817,NP_612815,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Simone Scrima (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/bcl-proteins/bcl2l1/,,,AFDB,AlphaFold database,False,,
RPS6KL1,Q9Y6S9,NP_113652,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
SFTPA1,Q8IWL2,NP_005402,2,"Beatrice Drago (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/sftpa1,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ZDHHC11,Q9H8X9,NP_079062,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
HPRT1,P00492,NP_000185,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
IKBKE,Q14164,NP_054721,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NTHL1,P78549,NP_002519,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AF3,AlphaFold3 webserver,False,,
SLC35G4,P0C7Q5,NP_001269229,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FANCI,Q9NVI1,NP_001106849,2,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/fanci/,,,AFDB,AlphaFold database,False,,
PPP6C,O00743,NP_002712,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATRX,P46100,NP_000480,2,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/atrx/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NFYC,Q13952,NP_001295043,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MAFB,Q9Y5Q3,NP_005452,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NRAS,P01111,NP_002515,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NOP10,Q9NPE3,NP_061118,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
KDM5A,P29375,NP_001036068,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CSNK1G2,P78368,NP_001310,2,"Philipp Becker (DTU, Denmark), Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/csnk1g2/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CYLD,Q9NQC7,NP_001365672,0,"Matteo Arnaudi (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FOXL2,P58012,NP_075555,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IKBKB,O14920,NP_001547,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
AURKB,Q96GD4,NP_004208,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATG4A,Q8WYN0,NP_443168,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/atg-proteins/atg4a,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MEGF6,O75095,NP_001400,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CREBBP,Q92793,NP_004371,2,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/crebbp/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
REL,Q04864,NP_002899,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PCDHB10,Q9UN67,NP_061753,2,"Alessia Campo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/pcdhb10/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DOT1L,Q8TEK3,NP_115871,0,"Vinit Nilesh Vasa (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PTCH1,Q13635,NP_000255,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FUS,P35637,NP_004951,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SLC34A2,O95436,NP_006415,0,"Kristine Degn (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CRX,O43186,NP_000545,0,"Anna Melidi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TFAP2A,P05549,NP_003211,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark), Katrine Meldgård (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
IL10,P22301,NP_000563,0,"Ona Saulianskaite (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
RIOK1,Q9BRS2,NP_113668,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FANCE,Q9HB96,NP_068741,2,"Matteo Arnaudi (DCRC, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/fance/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IRS2,Q9Y4H2,NP_003740,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MLH1,P40692,NP_000240,2,"Ludovica Beltrame (DTU, Denmark, DCI, Denmark), Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/mlh1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ZNF578,Q96N58,NP_001093164,2,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/znf578,,,AFDB,AlphaFold database,False,,
GYPA,P02724,NP_002090,0,"Beatrice Drago (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CCR7,P32248,NP_001829,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GYPB,P06028,NP_002091,0,"Beatrice Drago (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BRSK1,Q8TDC3,NP_115806,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MAP3K21,Q5TCX8,NP_115811,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
RBM10,P98175,NP_005667,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATG14,Q6ZNE5,NP_055739,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NPM1,P06748,NP_002511,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TSC2,P49815,NP_000539,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RPL3L,Q92901,NP_005052,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
LMO1,P25800,NP_002306,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FBXW7,Q969H0,NP_361014,0,"Joachim Breitenstein (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
SUMO3,P55854,NP_008867,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATL3,Q6DD88,NP_056274,0,"Mattia Utichi (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NR3C1,P04150,NP_000167,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FAH,P16930,NP_000128,0,"Michal Sitek (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
NF1,P21359,NP_001035957,0,"Anna Melidi (DTU, Denmark)",,,,AF3,AlphaFold3 webserver,False,,
NBN,O60934,NP_002476,2,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/nbn/,,,AFDB,AlphaFold database,False,,
TPSG1,Q9NRR2,NP_036599,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IDH2,P48735,NP_002159,0,"Elena Papaleo (DCRC, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
LHCGR,P22888,NP_000224,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BIRC3,Q13489,NP_001156,0,"Paraskevi Saridaki (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NTRK1,P04629,NP_002520,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ACTG1,P63261,NP_001605,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
F13A1,P00488,NP_000120,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
STEAP1B,Q6NZ63,NP_997225,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PPBP,P02775,NP_002695,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
XPA,P23025,NP_000371,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PIK3R1,P27986,NP_852664,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TAOK3,Q9H2K8,NP_057365,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
POLR2J2,Q9GZM3,NP_116581,0,"Angeliki Vliora (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
C1GALT1C1,Q96EU7,NP_001011551,0,"Beatrice Drago (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NELFDC,Q8IXH7,,0,"Anna Melidi (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CNTNAP2,Q9UHC6,NP_054860,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
JMJD1C,Q15652,NP_116165,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CLK4,Q9HAZ1,NP_065717,2,"Kristine Degn (DTU, Denmark), Pablo Sanchez-Izquierdo (DTU, Denmark, DCI,Denmark)",https://elelab.gitbook.io/mavisp/proteins/clk4/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BTG1,P62324,NP_001722,2,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/btg1,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
LCN1,P31025,NP_001239546,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CRKL,P46109,NP_005198,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
SAMD15,Q9P1V8,NP_001010860,2,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/samd15,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ST6GALNAC1,Q9NSC7,NP_060884,0,"Beatrice Drago (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TESK1,Q15569,NP_006276,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
UROD,P06132,NP_000365,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PIK3CD,O00329,NP_005017,0,"Xavier Chapatte (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
RFWD3,Q6PCD5,NP_060594,2,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/rfwd3,,,AFDB,AlphaFold database,False,,
WIPI1,Q5MNZ9,NP_060453,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FRG1,Q14331,NP_004468,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ACTB,P60709,NP_001092,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
RB1,P06400,NP_000312,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PRAMEF1,O95521,NP_075389,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PSKH1,P11801,NP_006733,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MTF1,Q14872,NP_005946,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CCND1,P24385,NP_444284,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
